FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Harney Canal,Pinellas,1556.1,65.08
Port of Tampa  50th St Corridor,Pinellas,603.47,45.2
MacDill AFB,Pinellas,1681.85,44.25
CZ2,Pinellas,632.09,27.52
Apollo Beach  Ruskin,Pinellas,806.61,83.66
NW Hilsborough,Pasco,39412.51,1156.51
NE Hilsborough,Pasco,18216.27,756.79
Tampa Central,Pasco,24904.39,732.25
Citrus Park,Pasco,1339.31,86.81
TPA  Anderson Rd,Pasco,7279.02,303.24
SW Hillsborough,Pasco,3347.11,96.35
MacDill AFB,Pasco,336.59,1.67
Downtown,Pasco,6168.38,207.18
East Town,Pasco,3379.09,104.24
Port of Tampa  50th St Corridor,Pasco,567.34,14.55
SE Hillsborough,Pasco,3555.21,127.91
Apollo Beach  Ruskin,Pasco,415.37,21.81
USF  Hosp  Busch,Pasco,8115.38,256.01
Westshore  Rocky Point,Pasco,4197.64,174.16
West Brandon,Pasco,2483.73,77.85
Gibsonton,Pasco,820.71,29.83
CZ2,Pasco,421.53,18.66
CZ4,Pasco,1034.74,34.52
Plant City Area,Pasco,560.43,37.34
Harney Canal,Pasco,2050.12,55.59
New Tampa,Pasco,1020.14,40.44
NW Hilsborough,Hernando  Citrus,3348.88,86.12
Harney Canal,Hernando  Citrus,154.86,6.04
East Town,Hernando  Citrus,424.61,14.64
SE Hillsborough,Hernando  Citrus,332.61,22.18
Gibsonton,Hernando  Citrus,107.28,0.52
NE Hilsborough,Hernando  Citrus,882.43,49.75
Tampa Central,Hernando  Citrus,2079.41,73.9
Citrus Park,Hernando  Citrus,176.35,4.06
TPA  Anderson Rd,Hernando  Citrus,1925.88,85.46
USF  Hosp  Busch,Hernando  Citrus,760.19,25.47
Westshore  Rocky Point,Hernando  Citrus,649.2,39.91
SW Hillsborough,Hernando  Citrus,339.32,11.68
Downtown,Hernando  Citrus,799.46,27.05
Port of Tampa  50th St Corridor,Hernando  Citrus,49.51,0
Plant City Area,Hernando  Citrus,61.01,7.12
West Brandon,Hernando  Citrus,137.41,14.65
CZ2,Hernando  Citrus,59.29,1.78
MacDill AFB,Hernando  Citrus,45.18,3.44
Apollo Beach  Ruskin,Hernando  Citrus,17.85,0.71
New Tampa,Hernando  Citrus,94.45,2
CZ4,Hernando  Citrus,73.62,1.07
NW Hilsborough,Manatee Spur,167.94,16.62
USF  Hosp  Busch,Manatee Spur,63.16,5.56
Tampa Central,Manatee Spur,185.95,33.11
TPA  Anderson Rd,Manatee Spur,82.4,25.1
Westshore  Rocky Point,Manatee Spur,35.89,26.94
Downtown,Manatee Spur,46.56,18.33
SE Hillsborough,Manatee Spur,550.59,81.01
Gibsonton,Manatee Spur,109.19,36.95
Apollo Beach  Ruskin,Manatee Spur,135.66,28.38
CZ4,Manatee Spur,698.04,60.47
East Town,Manatee Spur,48.01,11.89
SW Hillsborough,Manatee Spur,30.08,5.27
West Brandon,Manatee Spur,114.37,12.72
CZ2,Manatee Spur,63.62,18.55
NE Hilsborough,Manatee Spur,171.87,22.97
Harney Canal,Manatee Spur,38.75,17.55
New Tampa,Manatee Spur,14.4,0
MacDill AFB,Manatee Spur,28.07,0
Port of Tampa  50th St Corridor,Manatee Spur,17.79,6.19
Plant City Area,Manatee Spur,20.31,1.95
Citrus Park,Manatee Spur,4.65,0
NW Hilsborough,External,4159.85,3353.6
NE Hilsborough,External,14177.89,13332.81
Tampa Central,External,7103.25,9221.48
Citrus Park,External,45.27,56.25
TPA  Anderson Rd,External,731.92,2981.45
USF  Hosp  Busch,External,859.4,3530.44
Harney Canal,External,807.1,1756.31
New Tampa,External,114.63,512.5
East Town,External,1487.16,3713.07
Plant City Area,External,3524.45,4071.83
Westshore  Rocky Point,External,747.3,3040.74
SW Hillsborough,External,1499.2,1934.95
MacDill AFB,External,155.85,302.16
Downtown,External,1105.58,4219.32
Port of Tampa  50th St Corridor,External,408.66,625.27
West Brandon,External,1232.34,3326.75
SE Hillsborough,External,8157.53,6056.87
Gibsonton,External,2251.74,1387.44
CZ2,External,1366.08,901.39
Apollo Beach  Ruskin,External,1020.41,686.5
CZ4,External,5123.93,3401.38
